                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4193,                 1.6001,                 1.1118,                0.71104,                0.61081,                0.66802,                0.42154,                 1.1731,                 1.0378,                 1.0166,             0.00036982,             0.00036982,             0.00036982
                      2,                 1.2902,                 1.0529,                 1.0603,                0.71469,                 0.6753,                0.73801,                0.46197,                 1.1483,                0.89571,                 1.0249,             0.00071573,             0.00071573,             0.00071573
                      3,                 1.2617,                0.95356,                 1.0444,                0.75759,                0.67924,                0.74153,                0.49155,                 1.1103,                0.82622,                0.99283,              0.0010372,              0.0010372,              0.0010372
                      4,                 1.2306,                0.88224,                 1.0343,                  0.795,                0.69721,                0.78254,                0.51907,                 1.1025,                0.75184,                 1.0024,               0.001001,               0.001001,               0.001001
                      5,                 1.2091,                0.83453,                  1.024,                0.73817,                0.71543,                0.77553,                 0.5171,                 1.0796,                0.74606,                0.98799,               0.001001,               0.001001,               0.001001
                      6,                 1.1921,                0.80319,                  1.017,                0.81784,                0.73753,                0.81645,                0.55289,                   1.07,                0.70056,                0.98623,             0.00096435,             0.00096435,             0.00096435
                      7,                 1.1674,                 0.7792,                  1.011,                0.80402,                 0.7548,                0.81888,                0.55334,                 1.0622,                0.69055,                0.97838,             0.00092769,             0.00092769,             0.00092769
                      8,                 1.1603,                0.75682,                 1.0041,                0.82691,                0.74694,                0.82765,                0.56455,                 1.0564,                0.67557,                0.97624,             0.00089102,             0.00089102,             0.00089102
                      9,                 1.1381,                0.73559,                0.99706,                0.85675,                0.76257,                0.84336,                0.58431,                 1.0367,                0.64949,                0.96845,             0.00085436,             0.00085436,             0.00085436
                     10,                 1.1305,                0.71862,                0.99198,                0.78526,                0.79269,                0.82794,                0.57593,                 1.0298,                0.65278,                0.96842,              0.0008177,              0.0008177,              0.0008177
                     11,                 1.1169,                0.70394,                 0.9902,                0.85002,                0.77915,                0.85469,                0.59321,                 1.0258,                0.63078,                0.96704,             0.00078103,             0.00078103,             0.00078103
                     12,                 1.1035,                0.68927,                0.98117,                0.81681,                0.81168,                0.85921,                0.59746,                 1.0254,                0.61727,                0.96557,             0.00074437,             0.00074437,             0.00074437
                     13,                 1.0954,                0.68224,                0.97882,                0.84372,                0.81248,                0.87105,                0.61233,                 1.0168,                  0.608,                0.96003,             0.00070771,             0.00070771,             0.00070771
                     14,                 1.0833,                0.67259,                0.97586,                 0.8657,                0.79343,                0.86864,                0.61209,                 1.0085,                0.60517,                0.96079,             0.00067104,             0.00067104,             0.00067104
                     15,                 1.0684,                0.65743,                  0.969,                0.86527,                0.81301,                0.87946,                 0.6181,                 1.0012,                0.59604,                0.95911,             0.00063438,             0.00063438,             0.00063438
                     16,                   1.06,                 0.6443,                0.96567,                0.86468,                0.82819,                0.88436,                0.63077,                0.99009,                0.57486,                0.94797,             0.00059772,             0.00059772,             0.00059772
                     17,                 1.0557,                0.63846,                0.96661,                0.85281,                0.82756,                0.87968,                0.62534,                0.99131,                0.57917,                0.95142,             0.00056105,             0.00056105,             0.00056105
                     18,                 1.0385,                0.63087,                0.96036,                0.85707,                0.83806,                0.89182,                0.63558,                0.98727,                0.57296,                0.94764,             0.00052439,             0.00052439,             0.00052439
                     19,                  1.038,                 0.6266,                0.95683,                0.85945,                0.83699,                0.89334,                0.64519,                 0.9744,                0.56597,                0.94446,             0.00048773,             0.00048773,             0.00048773
                     20,                 1.0264,                0.61622,                0.95325,                0.86306,                0.83175,                0.89215,                0.64239,                0.96871,                0.56001,                0.94709,             0.00045107,             0.00045107,             0.00045107
                     21,                0.99263,                0.57799,                0.94861,                0.87391,                0.83209,                0.89394,                0.64936,                0.96185,                0.56145,                0.94165,              0.0004144,              0.0004144,              0.0004144
                     22,                 0.9743,                0.56257,                0.94184,                 0.8608,                0.85012,                0.89935,                  0.654,                0.95475,                 0.5488,                0.93895,             0.00037774,             0.00037774,             0.00037774
                     23,                 0.9588,                0.55256,                 0.9369,                0.87568,                0.84113,                0.89984,                0.65577,                0.94948,                0.54583,                0.93666,             0.00034108,             0.00034108,             0.00034108
                     24,                 0.9468,                0.53904,                0.93205,                0.87004,                0.85247,                0.90394,                0.65607,                0.94258,                0.53451,                0.93416,             0.00030441,             0.00030441,             0.00030441
                     25,                0.93695,                0.53234,                0.92795,                0.89727,                0.83991,                 0.9067,                0.66834,                0.93843,                0.53953,                0.93362,             0.00026775,             0.00026775,             0.00026775
                     26,                0.92463,                0.52201,                0.92465,                0.87648,                0.85813,                 0.9108,                0.67112,                0.92709,                0.52879,                 0.9271,             0.00023109,             0.00023109,             0.00023109
                     27,                0.91357,                0.51201,                0.92017,                0.90242,                0.84925,                0.91379,                 0.6737,                0.92421,                0.52402,                0.92852,             0.00019442,             0.00019442,             0.00019442
                     28,                0.90027,                0.50385,                 0.9155,                0.89893,                0.84923,                0.91484,                0.67881,                0.92159,                 0.5196,                0.92506,             0.00015776,             0.00015776,             0.00015776
                     29,                 0.8911,                 0.4982,                0.91485,                0.89302,                0.86855,                0.91712,                0.68271,                0.91324,                 0.5182,                0.92396,              0.0001211,              0.0001211,              0.0001211
                     30,                0.88366,                0.49098,                0.91033,                  0.896,                0.85521,                0.91665,                0.68493,                0.90696,                0.51405,                0.92196,             8.4436e-05,             8.4436e-05,             8.4436e-05
